date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:24:00	225/225	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:00%20GMT	http://hex.h5.legu.cc/i/s/voice_tier1_goodjob.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier1_goodjob.mp3	(from http://hex.h5.legu.cc/)
21:24:01	229/229	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:01%20GMT	http://hex.h5.legu.cc/i/s/voice_tier2_gettinggood.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier2_gettinggood.mp3	(from http://hex.h5.legu.cc/)
21:24:02	224/224	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:02%20GMT	http://hex.h5.legu.cc/i/s/voice_tier2_ohyeah.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier2_ohyeah.mp3	(from http://hex.h5.legu.cc/)
21:24:03	226/226	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:03%20GMT	http://hex.h5.legu.cc/i/s/voice_tier3_gorgeous.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier3_gorgeous.mp3	(from http://hex.h5.legu.cc/)
21:24:04	226/226	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:04%20GMT	http://hex.h5.legu.cc/i/s/voice_tier3_terrific.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier3_terrific.mp3	(from http://hex.h5.legu.cc/)
21:24:05	224/224	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:05%20GMT	http://hex.h5.legu.cc/i/s/voice_tier4_genius.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier4_genius.mp3	(from http://hex.h5.legu.cc/)
21:24:06	226/226	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:06%20GMT	http://hex.h5.legu.cc/i/s/voice_tier4_stunning.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier4_stunning.mp3	(from http://hex.h5.legu.cc/)
21:24:07	227/227	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:07%20GMT	http://hex.h5.legu.cc/i/s/voice_tier5_fantastic.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier5_fantastic.mp3	(from http://hex.h5.legu.cc/)
21:24:08	232/232	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:08%20GMT	http://hex.h5.legu.cc/i/s/voice_tier5_flabbergasting.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier5_flabbergasting.mp3	(from http://hex.h5.legu.cc/)
21:24:09	228/228	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:09%20GMT	http://hex.h5.legu.cc/i/s/voice_tier6_astounding.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier6_astounding.mp3	(from http://hex.h5.legu.cc/)
21:24:10	227/227	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:10%20GMT	http://hex.h5.legu.cc/i/s/voice_tier6_explosive.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier6_explosive.mp3	(from http://hex.h5.legu.cc/)
21:24:11	228/228	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Jan%202023%2013:24:11%20GMT	http://hex.h5.legu.cc/i/s/voice_tier7_incredible.mp3	/Users/henry/websites/webhack/hex.h5.legu.cc/i/s/voice_tier7_incredible.mp3	(from http://hex.h5.legu.cc/)
